0,Image sharpness,Ringing,CNR subcortical structures,CNR GM and WM
CMU-a-0050642,1,1,1,1
CMU-a-0050647,1,1,1,1
CMU-a-0050649,1,1,1,1
CMU-a-0050656,1,1,1,1
CMU-b-0050648,1,1,1,1
CMU-b-0050669,1,1,1,1
Caltech-0051459,1,1,1,1
Caltech-0051464,1,1,1,1
Caltech-0051466,1,1,1,1
Caltech-0051473,1,1,1,1
Caltech-0051477,1,1,1,1
Caltech-0051478,1,1,1,1
Caltech-0051479,1,1,1,1
Caltech-0051480,1,1,1,1
Caltech-0051481,1,1,1,1
Caltech-0051482,1,1,1,1
Caltech-0051484,1,1,1,1
Caltech-0051485,1,1,1,1
Caltech-0051486,1,1,1,1
Caltech-0051487,1,1,1,1
Caltech-0051488,1,1,1,1
Caltech-0051489,1,1,1,1
Caltech-0051491,1,1,1,1
Caltech-0051492,1,1,1,1
KKI-0050773,1,1,1,1
KKI-0050774,1,1,1,1
KKI-0050775,1,1,1,1
KKI-0050776,1,1,1,1
KKI-0050777,1,1,1,1
KKI-0050778,1,1,1,1
KKI-0050781,1,1,1,1
KKI-0050782,1,1,1,1
KKI-0050783,1,1,1,1
KKI-0050786,1,1,1,1
KKI-0050790,1,1,1,1
KKI-0050791,1,1,1,1
KKI-0050796,1,1,1,1
KKI-0050797,1,1,1,1
KKI-0050798,1,1,1,1
KKI-0050799,1,1,1,1
KKI-0050807,1,1,1,1
KKI-0050814,1,1,1,1
KKI-0050820,1,1,1,1
KKI-0050821,1,1,1,1
KKI-0050822,1,1,1,1
KKI-0050823,1,1,1,1
Leuven-1-0050683,1,1,1,1
Leuven-1-0050685,1,1,1,1
Leuven-1-0050687,1,1,1,1
Leuven-1-0050688,1,1,1,1
Leuven-1-0050689,1,1,1,1
Leuven-1-0050690,1,1,1,1
Leuven-1-0050691,1,1,1,1
Leuven-1-0050692,1,1,1,1
Leuven-1-0050693,1,1,1,1
Leuven-1-0050695,1,1,1,1
Leuven-1-0050696,1,1,1,1
Leuven-1-0050697,1,1,1,1
Leuven-1-0050698,1,1,1,1
Leuven-1-0050699,1,1,1,1
Leuven-1-0050700,1,1,1,1
Leuven-1-0050701,1,1,1,1
Leuven-1-0050702,1,1,1,1
Leuven-1-0050703,1,1,1,1
Leuven-1-0050704,1,1,1,1
Leuven-1-0050705,1,1,1,1
Leuven-1-0050706,1,1,1,1
Leuven-1-0050707,1,1,1,1
Leuven-1-0050708,1,1,1,1
Leuven-1-0050709,1,1,1,1
Leuven-2-0050722,1,1,1,1
Leuven-2-0050723,1,1,1,1
Leuven-2-0050725,1,1,1,1
Leuven-2-0050726,1,1,1,1
Leuven-2-0050728,1,1,1,1
Leuven-2-0050730,1,1,1,1
Leuven-2-0050731,1,1,1,1
Leuven-2-0050732,1,1,1,1
Leuven-2-0050733,1,1,1,1
Leuven-2-0050735,1,1,1,1
Leuven-2-0050737,1,1,1,1
Leuven-2-0050738,1,1,1,1
Leuven-2-0050739,1,1,1,1
Leuven-2-0050740,1,1,1,1
Leuven-2-0050741,1,1,1,1
Leuven-2-0050742,1,1,1,1
Leuven-2-0050745,1,1,1,1
Leuven-2-0050748,1,1,1,1
Leuven-2-0050751,1,1,1,1
Leuven-2-0050752,1,1,1,1
Leuven-2-0050754,1,1,1,1
Leuven-2-0050755,1,1,1,1
MaxMun-a-0051318,1,1,1,1
MaxMun-a-0051321,1,1,1,1
MaxMun-a-0051362,1,1,1,1
MaxMun-a-0051363,1,1,1,1
MaxMun-a-0051370,1,1,1,1
MaxMun-a-0051606,1,1,1,1
MaxMun-a-0051607,1,1,1,1
MaxMun-b-0051322,1,1,1,1
MaxMun-b-0051323,1,1,1,1
MaxMun-b-0051325,1,1,1,1
MaxMun-c-0051328,1,1,1,1
MaxMun-c-0051332,1,1,1,1
MaxMun-c-0051333,1,1,1,1
MaxMun-c-0051335,1,1,1,1
MaxMun-c-0051338,1,1,1,1
MaxMun-c-0051339,1,1,1,1
MaxMun-c-0051343,1,1,1,1
MaxMun-d-0051329,1,1,1,1
MaxMun-d-0051354,1,1,1,1
MaxMun-d-0051356,1,1,1,1
MaxMun-d-0051360,1,1,1,1
NYU-0050954,1,1,1,1
NYU-0050956,1,1,1,1
NYU-0050958,1,1,1,1
NYU-0050962,1,1,1,1
NYU-0050968,1,1,1,1
NYU-0050970,1,1,1,1
NYU-0050973,1,1,1,1
NYU-0050985,1,1,1,1
NYU-0050988,1,1,1,1
NYU-0050990,1,1,1,1
NYU-0050996,1,1,1,1
NYU-0051002,1,1,1,1
NYU-0051007,1,1,1,1
NYU-0051009,1,1,1,1
NYU-0051014,1,1,1,1
NYU-0051015,1,1,1,1
NYU-0051018,1,1,1,1
NYU-0051019,1,1,1,1
NYU-0051020,1,1,1,1
NYU-0051025,1,1,1,1
NYU-0051029,1,1,1,1
NYU-0051039,1,1,1,1
NYU-0051042,1,1,1,1
NYU-0051045,1,1,1,1
NYU-0051046,1,1,1,1
NYU-0051047,1,1,1,1
NYU-0051048,1,1,1,1
NYU-0051049,1,1,1,1
NYU-0051050,1,1,1,1
NYU-0051051,1,1,1,1
NYU-0051053,1,1,1,1
NYU-0051056,1,1,1,1
NYU-0051057,1,1,1,1
NYU-0051059,1,1,1,1
NYU-0051060,1,1,1,1
NYU-0051061,1,1,1,1
NYU-0051062,1,1,1,1
NYU-0051066,1,1,1,1
NYU-0051067,1,1,1,1
NYU-0051068,1,1,1,1
NYU-0051072,1,1,1,1
NYU-0051073,1,1,1,1
NYU-0051074,1,1,1,1
NYU-0051076,1,1,1,1
NYU-0051077,1,1,1,1
NYU-0051079,1,1,1,1
NYU-0051087,1,1,1,1
NYU-0051088,1,1,1,1
NYU-0051090,1,1,1,1
NYU-0051091,1,1,1,1
NYU-0051093,1,1,1,1
NYU-0051094,1,1,1,1
NYU-0051096,1,1,1,1
NYU-0051098,1,1,1,1
NYU-0051099,1,1,1,1
NYU-0051102,1,1,1,1
NYU-0051104,1,1,1,1
NYU-0051107,1,1,1,1
NYU-0051110,1,1,1,1
NYU-0051111,1,1,1,1
NYU-0051113,1,1,1,1
NYU-0051114,1,1,1,1
NYU-0051116,1,1,1,1
NYU-0051117,1,1,1,1
NYU-0051118,1,1,1,1
NYU-0051121,1,1,1,1
NYU-0051122,1,1,1,1
NYU-0051126,1,1,1,1
NYU-0051129,1,1,1,1
NYU-0051130,1,1,1,1
NYU-0051131,1,1,1,1
NYU-0051147,1,1,1,1
NYU-0051150,1,1,1,1
NYU-0051151,1,1,1,1
NYU-0051154,1,1,1,1
NYU-0051155,1,1,1,1
NYU-0051156,1,1,1,1
OHSU-0050142,1,1,1,1
OHSU-0050143,1,1,1,1
OHSU-0050144,1,1,1,1
OHSU-0050145,1,1,1,1
OHSU-0050147,1,1,1,1
OHSU-0050148,1,1,1,1
OHSU-0050149,1,1,1,1
OHSU-0050150,1,1,1,1
OHSU-0050152,1,1,1,1
OHSU-0050153,1,1,1,1
OHSU-0050156,1,1,1,1
OHSU-0050157,1,1,1,1
OHSU-0050158,1,1,1,1
OHSU-0050159,1,1,1,1
OHSU-0050160,1,1,1,1
OHSU-0050161,1,1,1,1
OHSU-0050162,1,1,1,1
OHSU-0050163,1,1,1,1
OHSU-0050164,1,1,1,1
OHSU-0050167,1,1,1,1
OHSU-0050168,1,1,1,1
Olin-0050104,1,1,1,1
Olin-0050109,1,1,1,1
Olin-0050117,1,1,1,1
Olin-0050118,1,1,1,1
Olin-0050119,1,1,1,1
Olin-0050123,1,1,1,1
Olin-0050124,1,1,1,1
Olin-0050125,1,1,1,1
Olin-0050127,1,1,1,1
Olin-0050130,1,1,1,1
Olin-0050131,1,1,1,1
Olin-0050134,1,1,1,1
Olin-0050135,1,1,1,1
Pitt-0050004,1,1,1,1
Pitt-0050005,1,1,1,1
Pitt-0050010,1,1,1,1
Pitt-0050011,1,1,1,1
Pitt-0050014,1,1,1,1
Pitt-0050016,1,1,1,1
Pitt-0050023,1,1,1,1
Pitt-0050024,1,1,1,1
Pitt-0050027,1,1,1,1
Pitt-0050030,1,1,1,1
Pitt-0050032,1,1,1,1
Pitt-0050034,1,1,1,1
Pitt-0050035,1,1,1,1
Pitt-0050037,1,1,1,1
Pitt-0050043,1,1,1,1
Pitt-0050050,1,1,1,1
Pitt-0050056,1,1,1,1
Pitt-0050057,1,1,1,1
Pitt-0050060,1,1,1,1
SBL-0051557,1,1,1,1
SBL-0051558,1,1,1,1
SBL-0051559,1,1,1,1
SBL-0051560,1,1,1,1
SBL-0051562,1,1,1,1
SBL-0051564,1,1,1,1
SBL-0051565,1,1,1,1
SBL-0051566,1,1,1,1
SBL-0051567,1,1,1,1
SBL-0051568,1,1,1,1
SBL-0051569,1,1,1,1
SBL-0051570,1,1,1,1
SBL-0051571,1,1,1,1
SBL-0051572,1,1,1,1
SBL-0051573,1,1,1,1
SBL-0051574,1,1,1,1
SBL-0051575,1,1,1,1
SBL-0051576,1,1,1,1
SBL-0051577,1,1,1,1
SBL-0051579,1,1,1,1
SBL-0051580,1,1,1,1
SBL-0051581,1,1,1,1
SBL-0051582,1,1,1,1
SBL-0051583,1,1,1,1
SBL-0051584,1,1,1,1
SBL-0051585,1,1,1,1
SDSU-0050183,1,1,1,1
SDSU-0050187,1,1,1,1
